ncessch,schnam,leanm,member,white,totfrl,lstree,lcity,lstate,lzip,coname,type,status,level,latitude,longitude,id,route_id,state_code,through_la,f_system_v,aadt_vn,distance,geom
010000702186,BROCK'S GAP INTERMEDIATE SCH,HOOVER CITY,822,441,207,1730 LAKE CYRUS CLUB DR,HOOVER,AL,35244,JEFFERSON COUNTY,1,1,2,33.343900,-86.888700,122451,IN045900000000000,1,6,1,54400,259.1707035,0101000020E610000022FDF675E0B855C0158C4AEA04AC4040
010018502137,SARALAND HIGH SCH,SARALAND CITY,918,751,372,1115 INDUSTRIAL PARKWAY,SARALAND,AL,36571,MOBILE COUNTY,1,1,3,30.797100,-88.101900,117121,IN006500000000000,1,4,1,63100,157.48234248,0101000020E610000098DD9387850656C040A4DFBE0ECC3E40
010033000082,GREENWOOD ELEM SCH,BESSEMER CITY,286,28,232,5012 ROSELYN RD SOUTHEAST,BESSEMER,AL,35022,JEFFERSON COUNTY,1,1,1,33.334100,-86.933300,122366,IN045900000000000,1,4,1,52730,258.0281998,0101000020E6100000D656EC2FBBBB55C0FBCBEEC9C3AA4040
010039000108,BUSH MIDDLE SCH-MAGNET,BIRMINGHAM CITY,472,2,448,1112 25TH ST ENSLEY,BIRMINGHAM,AL,35218,JEFFERSON COUNTY,1,1,1,33.505100,-86.893400,114565,IN005900000000000,1,8,1,96140,259.63054751,0101000020E6100000C58F31772DB955C0D49AE61DA7C04040
010039000127,GATE CITY ELEM SCH,BIRMINGHAM CITY,468,1,438,6871 6TH COURT SOUTH,BIRMINGHAM,AL,35212,JEFFERSON COUNTY,1,1,1,33.537300,-86.731100,112452,IN002000000000000,1,4,1,61360,237.77196709,0101000020E6100000C286A757CAAE55C00612143FC6C44040
010039000140,HUFFMAN MIDDLE SCH,BIRMINGHAM CITY,322,4,252,517 HUFFMAN RD,BIRMINGHAM,AL,35215,JEFFERSON COUNTY,1,1,2,33.595000,-86.692800,76648,AL007500000000000,1,8,3,50840,159.67029026,0101000020E6100000CEAACFD556AC55C05C8FC2F528CC4040
010039000150,LEWIS ELEM SCH,BIRMINGHAM CITY,370,2,342,2015 26TH AVE NORTH,BIRMINGHAM,AL,35234,JEFFERSON COUNTY,1,1,1,33.544800,-86.823900,119819,IN006500000000000,1,8,1,110580,276.17349078,0101000020E610000029CB10C7BAB455C02F6EA301BCC54040
010039000156,MINOR ELEM SCH,BIRMINGHAM CITY,419,1,407,2425 AVE SENSLEY,BIRMINGHAM,AL,35218,JEFFERSON COUNTY,1,1,1,33.505200,-86.882400,114571,IN005900000000000,1,8,1,97900,278.21512203,0101000020E6100000637FD93D79B855C038F8C264AAC04040
010039000179,ROBINSON ELEM SCH,BIRMINGHAM CITY,407,20,369,8400 1ST AVE SOUTH,BIRMINGHAM,AL,35206,JEFFERSON COUNTY,1,1,1,33.572700,-86.719300,114649,IN005900000000000,1,4,1,69180,140.10536833,0101000020E6100000D200DE0209AE55C0A835CD3B4EC94040
010039000196,WILKERSON MIDDLE SCH,BIRMINGHAM CITY,315,1,280,116 11TH CT WEST,BIRMINGHAM,AL,35204,JEFFERSON COUNTY,1,1,2,33.523100,-86.838700,114624,IN005900000000000,1,8,1,135990,255.88641687,0101000020E6100000EFC9C342ADB555C0D044D8F0F4C24040
010039000198,WOODLAWN HIGH SCH-MAGNET,BIRMINGHAM CITY,857,7,779,5620 FIRST AVE NORTH,BIRMINGHAM,AL,35212,JEFFERSON COUNTY,1,1,3,33.542200,-86.752100,114764,IN005900000000000,1,8,1,133400,261.36819263,0101000020E610000095D4096822B055C013F241CF66C54040
010039001468,GEORGE WASHINGTON CARVER HIGH SCH,BIRMINGHAM CITY,902,5,783,3900 24TH ST NORTH,BIRMINGHAM,AL,35207,JEFFERSON COUNTY,1,1,3,33.558400,-86.828000,119774,IN006500000000000,1,8,1,108610,170.86448559,0101000020E6100000A245B6F3FDB455C00F0BB5A679C74040
010039001878,PHILLIPS ACAD,BIRMINGHAM CITY,739,14,419,2316 7TH AVE NORTH,BIRMINGHAM,AL,35203,JEFFERSON COUNTY,1,1,1,33.523200,-86.805100,114780,IN005900000000000,1,8,1,154770,214.68069883,0101000020E61000009D8026C286B355C034A2B437F8C24040
010039002204,BUSH HILLS ACADEMY,BIRMINGHAM CITY,526,4,470,900 16TH ST WEST,BIRMINGHAM,AL,35208,JEFFERSON COUNTY,1,1,1,33.516300,-86.864200,114587,IN005900000000000,1,8,1,106660,146.10021333,0101000020E6100000014D840D4FB755C060764F1E16C24040
010192000691,BRIGHTON MIDDLE SCH,JEFFERSON COUNTY,484,12,454,3400 BROWN CIRCLE,BRIGHTON,AL,35020,JEFFERSON COUNTY,1,1,1,33.443700,-86.955200,114435,IN005900000000000,1,4,1,54210,243.8018641,0101000020E6100000E9482EFF21BD55C01B9E5E29CBB84040
010192000703,FULTONDALE ELEM SCH,JEFFERSON COUNTY,815,268,595,950 CENTRAL AVE,FULTONDALE,AL,35068,JEFFERSON COUNTY,1,1,1,33.607300,-86.805800,119728,IN006500000000000,1,7,1,66360,271.01977586,0101000020E61000007AC7293A92B355C02F6EA301BCCD4040
010192001539,GRANTSWOOD COMM ELEM SCH,JEFFERSON COUNTY,405,86,317,5110 GRANTSWOOD RD,BIRMINGHAM,AL,35210,JEFFERSON COUNTY,1,1,1,33.531700,-86.654100,122198,IN045900000000000,1,6,1,75830,155.46591815,0101000020E610000012143FC6DCA955C040A4DFBE0EC44040
010237000902,WILLIAM HENRY BRAZIER ELEM SCH,MOBILE COUNTY,262,0,213,2161 BUTLER ST,MOBILE,AL,36617,MOBILE COUNTY,1,1,1,30.731800,-88.117400,117272,IN006500000000000,1,6,1,75580,144.70398181,0101000020E61000003A234A7B830756C07A36AB3E57BB3E40
010237000992,CALLOWAY SMITH MIDDLE SCH,MOBILE COUNTY,735,4,706,350 NORTH LAWRENCE ST,MOBILE,AL,36603,MOBILE COUNTY,1,1,2,30.682500,-88.045600,112020,IN001000000000000,1,7,1,74250,283.92818573,0101000020E6100000A52C431CEB0256C01F85EB51B8AE3E40
010243000504,BOOKER T WASHINGTON MAGNET HIGH SCH,MONTGOMERY COUNTY,440,131,131,632 SOUTH UNION ST,MONTGOMERY,AL,36104,MONTGOMERY COUNTY,1,1,3,32.369200,-86.299500,121181,IN008500000000000,1,10,1,83530,280.23344513,0101000020E6100000BA490C022B9355C073D712F2412F4040
010243001417,LOVELESS ACADEMIC MAGNET PROG HIGH SCH,MONTGOMERY COUNTY,463,210,61,921 WEST JEFF DAVIS,MONTGOMERY,AL,36108,MONTGOMERY COUNTY,1,1,3,32.365800,-86.323200,117917,IN006500000000000,1,8,1,77500,191.56929167,0101000020E61000004D840D4FAF9455C03B70CE88D22E4040
010303001461,VALLEY INTERMEDIATE SCH,SHELBY COUNTY,718,352,321,2200 HWY 33,PELHAM,AL,35124,SHELBY COUNTY,1,1,1,33.309400,-86.789600,119586,IN006500000000000,1,6,1,83600,186.95367971,0101000020E6100000FB3A70CE88B255C0F2B0506B9AA74040
010336001260,SKYLAND ELEM SCH,TUSCALOOSA CITY,376,13,272,408 SKYLAND BLVD EAST,TUSCALOOSA,AL,35405,TUSCALOOSA COUNTY,1,1,1,33.168900,-87.531000,114606,IN005900000000000,1,6,1,50980,163.79612131,0101000020E6100000448B6CE7FBE155C0AF25E4839E954040
020018000064,CLARK MIDDLE SCHOOL,ANCHORAGE SCHOOL DISTRICT,1126,120,923,150 SOUTH BRAGAW ST,ANCHORAGE,AK,99508,ANCHORAGE MUNICIPALITY,1,1,2,61.222700,-149.810800,10902,135000,2,3,1,55600,230.32424123,0101000020E61000001973D712F2B962C0DC68006F819C4E40
020018000101,POLARIS K-12 SCHOOL,ANCHORAGE SCHOOL DISTRICT,484,335,112,6200 ASHWOOD ST,ANCHORAGE,AK,99507,ANCHORAGE MUNICIPALITY,1,1,4,61.164700,-149.854600,7192,130000,2,2,1,53380,94.84328253,0101000020E61000002C6519E258BB62C05BD3BCE314954E40
040005501731,EDUPRENEURSHIP STUDENT CENTER (ESC) PHOENIX,EDUPRENEURSHIP  INC.,83,29,37,7801 NORTH 27TH AVE,PHOENIX,AZ,85051,MARICOPA COUNTY,1,1,1,33.551700,-112.116500,83536,07  NORTHERN            AVE     01,4,5,4,55219,154.61651561,0101000020E6100000FA7E6ABC74075CC0029A081B9EC64040
040005600781,ARIZONA SCHOOL FOR THE ARTS,ARIZONA SCHOOL FOR THE ARTS,823,531,-1,1410 NORTH 3RD ST,PHOENIX,AZ,85004,MARICOPA COUNTY,1,1,4,33.463400,-112.071000,4367,I 010,4,10,1,220000,198.91672742,0101000020E6100000068195438B045CC0B37BF2B050BB4040
040007801006,EDGE HIGH SCHOOL - HIMMEL PARK,EDGE SCHOOL  INC.  THE,179,43,137,2555 EAST FIRST ST,TUCSON,AZ,85716,PIMA COUNTY,4,1,3,32.235000,-110.934300,226094,10  SPEEDWAY            BLVD,4,6,3,52171,120.01614413,0101000020E6100000C7293A92CBBB5BC0AE47E17A141E4040
040010201582,FRIENDLY HOUSE ACADEMIA DEL PUEBLO ELEM,FRIENDLY HOUSE  INC.,379,0,365,201 EAST DURANGO ST,PHOENIX,AZ,85004,MARICOPA COUNTY,1,1,1,33.429200,-112.071100,9724,I 017,4,6,1,112652,92.72134348,0101000020E6100000B8AF03E78C045CC0BBB88D06F0B64040
040013102070,AMERISCHOOLS ACADEMY - COUNTRY CLUB,THE CHARTER FOUNDATION  INC.,207,79,145,1150 NORTH COUNTRY CLUB,TUCSON,AZ,85716,PIMA COUNTY,1,1,4,32.237600,-110.926400,226186,10  SPEEDWAY            BLVD,4,6,3,58834,177.30179343,0101000020E6100000ECC039234ABB5BC0CAC342AD691E4040
040013401786,BASIS TUCSON,BASIS SCHOOL  INC.,839,369,-1,3825 EAST 2ND ST,TUCSON,AZ,85716,PIMA COUNTY,1,1,4,32.234900,-110.910900,226368,10  SPEEDWAY            BLVD,4,6,3,58828,143.08078172,0101000020E61000004A7B832F4CBA5BC04BEA0434111E4040
040015701728,SEQUOIA CHOICE SCHOOL ARIZONA DISTANCE LEARNING SC,EDKEY  INC. - SEQUOIA CHOICE SCHOOLS,574,428,181,1460 EAST HORNE,MESA,AZ,85204,MARICOPA COUNTY,1,1,4,33.387600,-111.817100,56688,U 060,4,12,2,218351,175.69537068,0101000020E6100000F163CC5D4BF45BC0FDF675E09CB14040
040021902011,CAREER SUCCESS HIGH SCHOOL - MAIN CAMPUS,CAREER SUCCESS SCHOOLS,219,6,212,3816 NORTH 27TH AVE,PHOENIX,AZ,85017,MARICOPA COUNTY,1,1,3,33.492600,-112.117700,81902,07  INDIAN SCHOOL       RD      01,4,8,3,50550,266.5881808,0101000020E61000004FAF946588075CC03B014D840DBF4040
040021902367,CAREER SUCCESS HIGH SCHOOL - GLENDALE,CAREER SUCCESS SCHOOLS,103,3,42,3816 NORTH 27TH AVE,PHOENIX,AZ,85017,MARICOPA COUNTY,1,1,3,33.492600,-112.117700,81902,07  INDIAN SCHOOL       RD      01,4,8,3,50550,266.5881808,0101000020E61000004FAF946588075CC03B014D840DBF4040
